Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,1,diMuon_mass,ZCR_normalization,1363664,1363663.9993135824,1358879.7127224468,1.0000000005033627,4784.286591135664,1358879.7134088643,1.0000000005051348
2022EE,1,diMuon_pt,ZCR_normalization,3660023,3659975.500126366,3645070.7059002183,1.0000129781944258,14904.7942261477,3645118.2057738523,1.0000130312626192
2022EE,1,n_jet,ZCR_normalization,3660023,3660023.0042846175,3645116.1796410345,0.9999999988293469,14906.824643583037,3645116.175356417,0.9999999988245594
2022EE,1,diMuon_mass,ZCR_normalization,3660023,3660023.0042846175,3645116.1796410345,0.9999999988293469,14906.824643583037,3645116.175356417,0.9999999988245594
2023,1,diMuon_pt,ZCR_normalization,2481417,2481382.543916039,2470562.914301888,1.0000138858411998,10819.629614151083,2470597.370385849,1.0000139466531135
2023,1,n_jet,ZCR_normalization,2481417,2481417.0009716945,2470595.7595398584,0.9999999996084115,10821.241431836039,2470595.758568164,0.9999999996066963
2023,1,diMuon_mass,ZCR_normalization,2481417,2481417.000971694,2470595.7595398584,0.9999999996084117,10821.241431835573,2470595.7585681644,0.9999999996066965
2023BPix,1,diMuon_pt,ZCR_normalization,1277501,1277476.4736985015,1271659.7346880527,1.0000191990240161,5816.7390104488,1271684.2609895512,1.000019286842879
2023BPix,1,n_jet,ZCR_normalization,1277501,1277501.000058046,1271683.4893618913,0.9999999999545628,5817.510696154786,1271683.4893038452,0.999999999954355
2023BPix,1,diMuon_mass,ZCR_normalization,1277501,1277501.000058046,1271683.4893618913,0.9999999999545628,5817.510696154786,1271683.4893038452,0.999999999954355
2022,2,diMuon_pt,ZCR_normalization,570996,570893.8258621594,553926.0972773358,1.000178972224277,16967.728584823548,554028.2714151765,1.0001844544576304
2022,2,n_jet,ZCR_normalization,570996,570984.3775360133,554018.6363596246,1.0000203551348232,16965.741176388692,554030.2588236113,1.0000209784711631
2022,2,diMuon_mass,ZCR_normalization,570996,570996.0001881588,554018.6363596246,0.9999999996704726,16977.36382853426,554018.6361714657,0.9999999996603746
2022EE,2,diMuon_pt,ZCR_normalization,1485906,1485679.761989731,1437771.043305423,1.0001522791223634,47908.718684308,1437997.281315692,1.0001573532944084
2022EE,2,n_jet,ZCR_normalization,1485906,1485829.9586345507,1437939.6727032922,1.0000511777037524,47890.28593125846,1438015.7140687415,1.0000528821666812
2022EE,2,diMuon_mass,ZCR_normalization,1485906,1485906.00067254,1437979.6056847833,0.9999999995473873,47926.39498775662,1437979.6050122434,0.9999999995323022
2023,2,diMuon_pt,ZCR_normalization,945528,945333.6351385847,907702.5034900447,1.0002056045127252,37631.131648539915,907896.8683514601,1.0002141283742945
2023,2,n_jet,ZCR_normalization,945528,945491.4053921248,907859.3830742976,1.0000387043263075,37632.02231782721,907895.9776821728,1.0000403086739615
2023,2,diMuon_mass,ZCR_normalization,945528,945528.000263233,907874.4622160336,0.9999999997216021,37653.53804719937,907874.4619528006,0.9999999997100557
2023BPix,2,diMuon_pt,ZCR_normalization,482950,482825.3979610257,462712.6132372762,1.000258068526429,20112.7847237495,462837.2152762505,1.000269286022057
2023BPix,2,n_jet,ZCR_normalization,482950,482924.1672772367,462811.7572986628,1.000053492296542,20112.40997857391,462837.5900214261,1.0000558169112084
2023BPix,2,diMuon_mass,ZCR_normalization,482950,482950.0000209319,462824.54056782974,0.9999999999566583,20125.459453102143,462824.54054689786,0.9999999999547736
